end_price,image_urls,img_url,model,model_url,start_price
92833,https://s.ek.ua/jpg/1905789.jpg,https://s.ek.ua/jpg/1905789.jpg,Apple MacBook Air 13 2020 M1,https://ek.ua/ua/ua/APPLE-MACBOOK-AIR-13--2020--M1.htm,36999
84876,https://s.ek.ua/jpg/2090053.jpg,https://s.ek.ua/jpg/2090053.jpg,HP Victus 16-e0000,https://ek.ua/ua/ua/HP-VICTUS-16-E0000.htm,29999
22499,https://s.ek.ua/jpg/2068639.jpg,https://s.ek.ua/jpg/2068639.jpg,Lenovo V15 G2 ALC,https://ek.ua/ua/ua/LENOVO-V15-G2-ALC.htm,15999
44138,https://s.ek.ua/jpg/2099925.jpg,https://s.ek.ua/jpg/2099925.jpg,Lenovo IdeaPad Gaming 3 15ACH6,https://ek.ua/ua/ua/LENOVO-IDEAPAD-GAMING-3-15ACH6.htm,26673
37999,https://s.ek.ua/jpg/2094387.jpg,https://s.ek.ua/jpg/2094387.jpg,Asus TUF Gaming F15 FX506HCB,https://ek.ua/ua/ua/ASUS-TUF-GAMING-F15-FX506HCB.htm,31700
68701,https://s.ek.ua/jpg/2015158.jpg,https://s.ek.ua/jpg/2015158.jpg,Lenovo Legion 5 15ACH6H,https://ek.ua/ua/ua/LENOVO-LEGION-5-15ACH6H.htm,44999
89010,https://s.ek.ua/jpg/2017560.jpg,https://s.ek.ua/jpg/2017560.jpg,Acer Nitro 5 AN515-45,https://ek.ua/ua/ua/ACER-NITRO-5-AN515-45.htm,33567
64336,https://s.ek.ua/jpg/2070932.jpg,https://s.ek.ua/jpg/2070932.jpg,HP Pavilion Gaming 15-ec2000,https://ek.ua/ua/ua/HP-PAVILION-GAMING-15-EC2000.htm,27999
45999,https://s.ek.ua/jpg/1900867.jpg,https://s.ek.ua/jpg/1900867.jpg,Lenovo Legion 5 15ARH05H,https://ek.ua/ua/ua/LENOVO-LEGION-5-15ARH05H.htm,36999
68196,https://s.ek.ua/jpg/2034980.jpg,https://s.ek.ua/jpg/2034980.jpg,MSI Katana GF66 11UE,https://ek.ua/ua/ua/MSI-KATANA-GF66-11UE.htm,41769
39999,https://s.ek.ua/jpg/1885687.jpg,https://s.ek.ua/jpg/1885687.jpg,Asus TUF Gaming F15 FX506LH,https://ek.ua/ua/ua/ASUS-TUF-GAMING-F15-FX506LH.htm,25326
